View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,CM,0,1,SingleQuestion,Which of the following best describes analog estimating?,,,[Qno: PML_116] >> ,,,,
,,,,,,1,Less accurate,,,,,
,,,,,,,Regression analysis,,,,,
,,,,,,,More accurate,,,,,
,,,,,,,Bottom-up estimating,,,,,
Radio,CM,0,1,SingleQuestion,EVM is part of,,,"[Qno: PML_118] >> PV is planning phase, AC is execution phase, EV, ETC, EAC is monitoring and controlling phase",,,,
,,,,,,,Executing processes,,,,,
,,,,,,,Closing processes,,,,,
,,,,,,,Controlling processes,,,,,
,,,,,,1,Entire project,,,,,
Radio,CM,0,1,SingleQuestion,All of the following are outputs of Determine Budget except:,,,"[Qno: PML_123] >> Output of determine budget process Cost Performance Baseline, Project Funding Requirements, Project Documents Update",,,,
,,,,,,,Project document updates.,,,,,
,,,,,,,Cost performance baseline.,,,,,
,,,,,,,Project funding requirements.,,,,,
,,,,,,1,Organizational process updates.,,,,,
Radio,CM,0,1,SingleQuestion,Which describes how cost variances will be managed?,,,[Qno: PML_837] >> Cost management plan describes how cost variances will be managed.,,,,
,,,,,,,Cost baseline,,,,,
,,,,,,1,Cost management plan,,,,,
,,,,,,,Cost estimate,,,,,
,,,,,,,Chart of accounts,,,,,
Radio,CM,0,1,SingleQuestion,Which is controlling changes to the budget.,,,[Qno: PML_847] >> Costs variations are monitored and controlled in Control Costs Process.,,,,
,,,,,,1,Control Costs,,,,,
,,,,,,,Estimate Costs,,,,,
,,,,,,,Determine Budget,,,,,
,,,,,,,None,,,,,
Radio,CM,0,1,SingleQuestion,How many and of what quality resources are required to perform project activities. This is called,,,"[Qno: PML_863] >> Resource planning :Planning, identifying, documenting, and assigning project roles, responsibilities, and reporting relationships to individuals or groups.",,,,
,,,,,,,Estimating Cost,,,,,
,,,,,,,Determining Budget,,,,,
,,,,,,1,Resource planning,,,,,
,,,,,,,Controlling Cost,,,,,
Radio,CM,0,1,SingleQuestion,Which Estimate Costs technique used most frequently in the early stages of a project.,,,"[Qno: PML_864] >> Analogous estimating is also called top-down estimating and uses the actual cost of a previous, similar project as the basis for estimating the cost of the project in hand",,,,
,,,,,,,Life-cycle costing,,,,,
,,,,,,1,Analogous estimating,,,,,
,,,,,,,Parametric modeling,,,,,
,,,,,,,Bottom up estimating,,,,,
Radio,CM,0,1,SingleQuestion,"What is the standard deviation for the estimates. Optimistic= $50, Pessimistic=$70, Most Likely= $55",,,[Qno: PML_898] >> Standard Deviation= (Pessimistic - Optimistic)/6 = (70-50)/6,,,,
,,,,,,1,3.33,,,,,
,,,,,,,56.66,,,,,
,,,,,,,0.83,,,,,
,,,,,,,0.5,,,,,
Radio,CM,0,1,SingleQuestion,While estimating Activity Duration what do you not want to look into,,,[Qno: PML_904] >> Activity cost estimates are input for determine budget.,,,,
,,,,,,,Activity Attributes,,,,,
,,,,,,,Activity Resource Requirements,,,,,
,,,,,,,Resource Calendars,,,,,
,,,,,,1,Activity Cost Estimates,,,,,
Radio,CM,0,1,SingleQuestion,Cost Performance Index (CPI) is ,,,[Qno: PML_1058] >> ,,,,
,,,,,,,Earned Value(EV) / Budgeted Cost(BC),,,,,
,,,,,,,Cost Variance(CV) / Actual Cost(AC),,,,,
,,,,,,1,Earned Value(EV) / Actual Cost(AC),,,,,
,,,,,,,Planned Value(PV) / Budgeted Cost(BC),,,,,
Radio,CM,0,1,SingleQuestion,+ / - 50 % range of estimate is called,,,[Qno: PML_1496] >> Rough order of magnitude (ROM):  +/- 50%<BR>A Budget estimate: -10% to plus 25%: <BR>Definitive estimates: +/- 10%<BR>,,,,
,,,,,,1, Rough order of magnitude estimate ,,,,,
,,,,,,, Budget estimate,,,,,
,,,,,,, Definitive estimate,,,,,
,,,,,,, Predictive uncertainty estimate,,,,,
Radio,CM,0,1,SingleQuestion,What is the BEST way to make an accurate forecasting of ETC? ,,,[Qno: PML_1749] >> ,,,,
,,,,,,,BAC - EV,,,,,
,,,,,,1,Manual Forecasting of cost of remaining work based on work performance information,,,,,
,,,,,,,(BAC - EV)/CPI,,,,,
,,,,,,,EAC - AC,,,,,
Radio,CM,0,1,SingleQuestion,How to calculate Delphi Estimate using the Best and Worst Case,,,[Qno: PML_1876] >> ,,,,
,,,,,,1,(Best + Worst) / 2,,,,,
,,,,,,,(Best + Worst) / 6,,,,,
,,,,,,,(Worst-Best) / 2,,,,,
,,,,,,,none of the above,,,,,
Radio,CM,0,1,SingleQuestion,Your sponsor has asked you to use payback period as a selection criterion to select amongst 3 competing projects. All of the following statements related to payback period are correct EXCEPT:,,,[Qno: PML_2109] >> ,,,,
,,,,,,,Number of years required to get back the initial investment in the project.,,,,,
,,,,,,,It s a project selection criterion,,,,,
,,,,,,,The initial investment in the project will not impact the selection criteria when payback period is used for project selection.,,,,,
,,,,,,1,It takes the discount rate into account to determine the best possible option.,,,,,
Radio,CM,0,1,SingleQuestion,You are a project manager of a automotive company. You want to manage the variance of cost between what was planned and what actually occurred. Which of the following methodology you should use?,,,[Qno: PML_2255] >> ,,,,
,,,,,,,Earned Value (EV),,,,,
,,,,,,,Planned Value,,,,,
,,,,,,,Accounting,,,,,
,,,,,,1,Earned Value Management (EVM),,,,,
Radio,CM,0,1,SingleQuestion,Which estimating technique is most accurate?,,,[Qno: PML_2258] >> ,,,,
,,,,,,,Analogous estimating,,,,,
,,,,,,,Parametric modeling,,,,,
,,,,,,1,Bottom-up estimating,,,,,
,,,,,,,None of the above,,,,,
Radio,CM,0,1,SingleQuestion,"What is the present value if the organization expects to make $5,000 four years from now and the annual interest rate is 5 percent?",,,[Qno: PML_2263] >> 4113.51237395941,,,,
,,,,,,1,"$ 4,114",,,,,
,,,,,,,"$ 5,000",,,,,
,,,,,,,"$ 2,500",,,,,
,,,,,,,"$ 4,500",,,,,
Radio,CM,0,1,SingleQuestion,"Your project will cost $90,000 to your company in coming 10 months. But after its completion organization will get benefit of $6,000 per month. What is the back  period of the project?",,,"[Qno: PML_2264] >> 90,000/ 6,000 = 15 months. Payback period will start after project finishes.",,,,
,,,,,,,10 Months,,,,,
,,,,,,,1 Year,,,,,
,,,,,,1,15 Months,,,,,
,,,,,,,3 Years,,,,,
Radio,CM,0,1,SingleQuestion,Which one of the following best describes the analogous estimating?,,,[Qno: PML_2272] >> ,,,,
,,,,,,,Reserve analysis,,,,,
,,,,,,,Bottom up estimating,,,,,
,,,,,,,Three-points estimates,,,,,
,,,,,,1,Least accurate,,,,,
Radio,CM,0,1,SingleQuestion,"The 1 years project has 100 work packages and a budget of $10,000. After six month, 50 work packages are completed and $5,000 has been spent. Which of the following is TRUE?",,,[Qno: PML_2294] >> You do not what was planned to be completed by 6 month.,,,,
,,,,,,1,Not enough information available.,,,,,
,,,,,,,The project need 50 work package to be completed in 6 months.,,,,,
,,,,,,,The project need 50 work package to be completed in 3 months.,,,,,
,,,,,,,The project is on schedule and on budget.,,,,,
Radio,CM,0,1,SingleQuestion,Analogous Estimate of Cost / Time is _________.,,,[Qno: PML_2483] >>  Analogous Estimate Costs is Generally less accurate . Analogous Estimate Costs Uses Expert judgement . It is used when reference projects are similar . It is useful in early phases of the project.,,,,
,,,,,,,Generally Accurate,,,,,
,,,,,,1,Generally less accurate,,,,,
,,,,,,,Bottom-up estimating,,,,,
,,,,,,,Top-up estimating,,,,,
Radio,CM,0,1,SingleQuestion,"If the cost variances to date are believed to be temporary, the estimate at completion (EAC) should be calculated as",,,"[Qno: PML_2751] >> The formula EAC = AC + (BAC - EV) ""when cost variance occurred in project due to temporary reasons. It is called EAC Atypical"". In this case remaining budget is BAC-EV.",,,,
,,,,,,,Actuals To Date + New estimate for remaining work,,,,,
,,,,,,,Actuals To Date + Remaining Budget/CPI,,,,,
,,,,,,,Actuals To Date + Actual Cost/CPI,,,,,
,,,,,,1,Actuals To Date + Remaining Budget,,,,,
Radio,COM,0,1,SingleQuestion,Which of the following is an input to Distribute Information?,,,[Qno: PML_114] >> In communication management knowledge area Project Charter is input & Stakeholder register is output of identify stakeholders. Change request is input only to one process in PMBoK.,,,,
,,,,,,1,Project management plan,,,,,
,,,,,,,Stakeholder register,,,,,
,,,,,,,Project charter,,,,,
,,,,,,,Change requests,,,,,
Radio,COM,0,1,SingleQuestion,Effective stakeholder management includes all of the following project elements except:,,,"[Qno: PML_120] >> As project manager you need to know how frequent the information need to be made available. Saying frequent is not sufficient, neither it guarantees the effective stakeholder management.",,,,
,,,,,,,Scope change control.,,,,,
,,,,,,,Timely status information.,,,,,
,,,,,,1,Frequent cost reports.,,,,,
,,,,,,,Clear requirements definition.,,,,,
Radio,COM,0,1,SingleQuestion,"Of the following management skills, which will a project manager use most?",,,[Qno: PML_125] >> An effective project manager&rsquo;s 90 % time goes in communication activities,,,,
,,,,,,,Leading,,,,,
,,,,,,,Negotiations.,,,,,
,,,,,,,Influencing the organization.,,,,,
,,,,,,1,Communication.,,,,,
Radio,COM,0,1,SingleQuestion,How does a project management team stay in touch with the work and the attitudes of project team members,,,"[Qno: PML_531] >> PMBOK(r) Guide 4th Edition, page 238.",,,,
,,,,,,1,By observation and communication,,,,,
,,,,,,,By continuous training & motivation,,,,,
,,,,,,,By hiring soft skill expert in project team,,,,,
,,,,,,,Use functional manager to communicate with team members,,,,,
Radio,COM,0,1,SingleQuestion,You have been assigned a project manager for an information security project. This project will help the organization is big way but since the beginning your are facing huge resistance from the people because their way of working will change once this project is complete. What shall you do?,,,"[Qno: PML_543] >> PMBOK(r) Guide 4th Edition, pages 215 and 233 (9.2.3.4).",,,,
,,,,,,,Develop a Responsibility assignment matrix (RAM) based on RACI and inform people about this.,,,,,
,,,,,,,Develop an organization diagram which does not allow and encourage any unofficial discussion which can be fatal for project.,,,,,
,,,,,,,"Do not talk to these stakeholders too much at this time, instead create Faits accomplis, which will later force the stakeholders to support the project due to a lack of alternatives for them.",,,,,
,,,,,,1,"Schedule a meeting with these stakeholders to present the project, discuss and establish ground rules, ensure their involvement and identify initial personal and organizational issues.",,,,,
Radio,COM,0,1,SingleQuestion,Which is not included in Performance improvements :,,,[Qno: PML_836] >> Overtime worked is not the performance improvement in project,,,,
,,,,,,,Improvements in individual skills,,,,,
,,,,,,,Improvements in team behaviors,,,,,
,,,,,,1,Improvements in amount of overtime worked,,,,,
,,,,,,,Improvements in team capabilities,,,,,
Radio,COM,0,1,SingleQuestion,"Ideally, communication among team members should take place",,,[Qno: PML_1085] >> ,,,,
,,,,,,,Via daily status reports,,,,,
,,,,,,,Through approved documented forms,,,,,
,,,,,,,Through the formal chain of command ,,,,,
,,,,,,1,By written and oral communication,,,,,
Radio,COM,0,1,SingleQuestion,"You are working as project manager on a IT project. Late in the project, client demands a big change. You did the assessment of the impact of the change and informs the client that how much time and money it will cost. But the client says that he doesn&rsquo;t have the time or budget to allow the change. What is the BEST way for you to handle this situation?",,,[Qno: PML_1243] >> ,,,,
,,,,,,,Plan a senior managers&rsquo; meet with the client to explain the situation,,,,,
,,,,,,1,Hold a meeting with the client to figure out why he is asking for the change,,,,,
,,,,,,,"Stop the work, right there because working after this will be waste of time and money (customer may not accept it)",,,,,
,,,,,,,Have the client find more money for the budget,,,,,
Radio,COM,0,1,SingleQuestion,"You are working on a project with 7 engineers, 1 architect. While you are in execution phase 2 more joins your team for quality control activities. How many new communication channel opens.",,,"[Qno: PML_1264] >>  The formula for lines of communication is n x (n-1) / 2. In beginning team size is 9 people it has increased to 11 people. Therefore in beginning there are 36 communication channels, after new member join there are 55 communication channel. Thus 55-36 = 19 new communication channels opens",,,,
,,,,,,1,19,,,,,
,,,,,,,12,,,,,
,,,,,,,17,,,,,
,,,,,,,45,,,,,
Radio,COM,0,1,SingleQuestion,A variance analysis is used for:,,,"[Qno: PML_1459] >> PMBOK(r) Guide 4th Edition, p. 268",,,,
,,,,,,, Determining future performance,,,,,
,,,,,,, Status reporting,,,,,
,,,,,,1, Comparing baselines to actuals,,,,,
,,,,,,, Statistical modeling ,,,,,
Radio,COM,0,1,SingleQuestion,The fundamental difference between Effective communication and Efficient communication means that:,,,"[Qno: PML_1534] >> Effective communication means that the information is provided in the right format, at right time, and with the right impact. Efficient communication means providing only the information that is needed. On most project communication planning is done in early phases of the project therefore to check the efficiency of communication plan one should review it from time to time. PMBOK(r) Guide 4th Edition, p. 252",,,,
,,,,,,,Effective communications ensure the guaranteed delivery of the communication and Efficient communications provide information to only the stakeholders who need it,,,,,
,,,,,,,Effective communications focus on the fastest communication channel  and Efficient communications focus on the most appropriate communication channel,,,,,
,,,,,,1,Effective communications ensure the timeliness and the format of the communications and Efficient communications provide only the information that is needed,,,,,
,,,,,,,Effective communications are required and Efficient communications are optional,,,,,
Radio,COM,0,1,SingleQuestion,The major purpose of project status reports is to:,,,[Qno: PML_1897] >> Project status reports are prepared in Report Performance Process and the purpose of this is to organize and summarize the information.,,,,
,,,,,,,Inform upper management of the project problems,,,,,
,,,,,,1,Organize and summarize the information so that all stakeholders were informed,,,,,
,,,,,,,Inform the client about the changes that have completed,,,,,
,,,,,,,Provide information to management and client,,,,,
Radio,COM,0,1,SingleQuestion,"You are managing a project in a foreign country, where you have to pay a fee to a government agencies to get your work done. In this case you should.",,,"[Qno: PML_2056] >> PM has the responsibility to refrain from offering or accepting inappropriate payments, gifts, or other forms of compensation for personal gain. But if it is conforming to the culture and law of that country then do the needful but you inform to your manager & sponsor",,,,
,,,,,,,"Refuse to pay the fee, because they are bribes and hence unethical ",,,,,
,,,,,,,"Make a case why fees should be paid to government agencies, and present it to your management ",,,,,
,,,,,,1,Pay the fee to the government agencies,,,,,
,,,,,,,Offer gifts to the government officials instead of fee to get their support ,,,,,
Radio,COM,0,1,SingleQuestion,"On your project you are constantly involved in managing stakeholders` expectations to satisfy their needs and resolve issues. In this context, all the following are relevant outputs EXCEPT:",,,[Qno: PML_2118] >> Communication requirement analysis is tool and technique of plan communication,,,,
,,,,,,1, Communications requirements analysis,,,,,
,,,,,,, Organization process assets updates,,,,,
,,,,,,, Change requests,,,,,
,,,,,,, Project management plan updates,,,,,
Radio,COM,0,1,SingleQuestion,A process in which you identify all people or organizations impacted by the project is,,,[Qno: PML_2252] >> ,,,,
,,,,,,,Identify Project Team,,,,,
,,,,,,,Manage stakeholder expectations,,,,,
,,,,,,1,Identify Stakeholders,,,,,
,,,,,,,Reports performance,,,,,
Radio,COM,0,1,SingleQuestion,"This week you have been assigned trouble project, where schedule is 50% behind the plan and project manager has left the organization. After evaluation, you discovered that the project is running far behind schedule the schedule then reported by previous project manager. However, the sponsor has been told that the project is on schedule. What is the BEST course of action you will take?",,,[Qno: PML_2291] >> ,,,,
,,,,,,,Add new resource to the project and complete the project on schedule.,,,,,
,,,,,,1,Show your finding and evaluation to sponsor.,,,,,
,,,,,,,Ask your senior manager to deal with this.,,,,,
,,,,,,,Turn the project back to the previous project manager.,,,,,
Radio,COM,0,1,SingleQuestion,You have been assigned as the project manager in the middle of the project but the customer is not happy with the performance of the project. What is the FIRST thing you should do?,,,[Qno: PML_2300] >> ,,,,
,,,,,,,Under the performance criteria from the project plan and achieve those,,,,,
,,,,,,1,Talk to customer and understand his concerns.,,,,,
,,,,,,,"Ignore the customer, it is bound to happen sometimes in project lifecycle.",,,,,
,,,,,,,Leave the project and ask your manager to assign another project.,,,,,
Radio,COM,0,1,SingleQuestion,"In which process are you applying following Tools & Techniques: Communication requirements analysis, Communication technology, Communication models, Communication methods.",,,[Qno: PML_2580] >> ,,,,
,,,,,,1,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,,Report Perform,,,,,
Radio,COM,0,1,SingleQuestion,"Your inputs are Project management plan, Performance reports, and Organizational process assets. Which process are you performing?",,,[Qno: PML_2583] >> ,,,,
,,,,,,,Identify Stakeholder,,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,1,Manage Stakeholder Expectations,,,,,
Radio,COM,0,1,SingleQuestion,Which are the Tools & Techniques of Report Performance?,,,[Qno: PML_2584] >> ,,,,
,,,,,,,"Variance analysis, Communication models, Communication methods, Reporting system.",,,,,
,,,,,,,"Variance analysis, Forecasting methods, Communication technology, Reporting system.",,,,,
,,,,,,1,"Variance analysis, Forecasting methods, Communication methods, Reporting system.",,,,,
,,,,,,,"Variance analysis, Interpersonal skills, Forecasting methods, Reporting system.",,,,,
Radio,COM,0,1,SingleQuestion,"In what process you need Project Charter, Procurements documents, Enterprise environmental factors, Organizational process assets as input,  one of your Tools & Techniques is Expert judgement. ",,,[Qno: PML_2585] >> ,,,,
,,,,,,1,Identify Stakeholders,,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
Radio,COM,0,1,SingleQuestion,"In Project Communications Management, one process has only one output named as Organizational process assets updates. What is the name of that process?",,,[Qno: PML_2586] >> ,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,1,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,,Report Performance,,,,,
Radio,COM,0,1,SingleQuestion,"Processes required to ensure timely and appropriate generation, collection, dissemination, storage and ultimate disposition of project information are part of",,,[Qno: PML_2718] >> ,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
,,,,,,1,Project communication management,,,,,
,,,,,,,Project quality control,,,,,
,,,,,,,Project quality assurance,,,,,
Radio,COM,0,1,SingleQuestion,A meeting held to assess project status or progress is called,,,[Qno: PML_2724] >> ,,,,
,,,,,,,Audit reviews,,,,,
,,,,,,1,Performance reviews,,,,,
,,,,,,,Management reviews,,,,,
,,,,,,,Progress informational update meetings,,,,,
Radio,COM,0,1,SingleQuestion,Except ----- all other are tools and techniques for report performance process,,,[Qno: PML_2727] >> ,,,,
,,,,,,,Variance analysis,,,,,
,,,,,,,Forecasting methods,,,,,
,,,,,,,Communication methods,,,,,
,,,,,,1,Interpersonal skills,,,,,
Radio,FW,0,1,SingleQuestion,"""Temporary"" in relation with project management means:",,,[Qno: PML_127] >> ,,,,
,,,,,,,The product or service created by the project is temporary utilized.,,,,,
,,,,,,,A short duration.,,,,,
,,,,,,1,A definite beginning and end.,,,,,
,,,,,,,Temporary staff assignments.,,,,,
Radio,FW,0,1,SingleQuestion,"Four constraints of a project are time, cost, scope and risk. What is the fifth constraint?",,,[Qno: PML_519] >> Resource is related to skill required to complete the work.,,,,
,,,,,,,Money,,,,,
,,,,,,1,Resource,,,,,
,,,,,,,Infrastructure,,,,,
,,,,,,,Capability,,,,,
Radio,FW,0,1,SingleQuestion,In a recent meeting of project managers your CEO who is PMP emphasized that A facilitator should----,,,[Qno: PML_534] >> ,,,,
,,,,,,,be in full control of the discussion and its outcomes.,,,,,
,,,,,,,always take notes by herself.,,,,,
,,,,,,,avoid a flip chart Parking lot.,,,,,
,,,,,,1,give guidance as required without interfering.,,,,,
Radio,FW,0,1,SingleQuestion,"In project initiating process group, which statement describes best handling of the assumptions",,,"[Qno: PML_538] >> PMBOK(r) Guide 4th Edition, pages 77 and 78 (outputs of process Develop project charter).",,,,
,,,,,,,"It is the responsibility of the presales person, so don&rsquo;t bother about it",,,,,
,,,,,,,Managing and organizing assumptions means avoiding risks right from the start of the project.,,,,,
,,,,,,1,"Organizational, environmental and external assumptions should be addressed in the project charter.",,,,,
,,,,,,,Assumptions are sign for risk which will come when project will be executed. So you can wait till risk planning phase start.,,,,,
Radio,FW,0,1,SingleQuestion,Constraints do not include,,,"[Qno: PML_859] >> Impacts of local strike is outcome of Constraint ""Political Condition""",,,,
,,,,,,1,Impacts of local strike,,,,,
,,,,,,,Collective bargaining,,,,,
,,,,,,,Organizational structure of the performing organization,,,,,
,,,,,,,Expected staff assignments,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following is NOT true,,,[Qno: PML_1071] >> ,,,,
,,,,,,,Project phases are marked by completion of one or more deliverables,,,,,
,,,,,,,The project life cycle serves to define the beginning and end of a project,,,,,
,,,,,,,The project life cycle definition determines whether the feasibility study is treated as the first phase of the project or as a separate stand-alone project,,,,,
,,,,,,1,Project phases in a project are always sequential,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following are NOT all examples of project documents?,,,[Qno: PML_1261] >> Everything except Scope Baseline is project document. Scope baseline is part of Project Management Plan <BR>PMBOK(r) Guide p 350,,,,
